ID,year,author,bad_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_gloss,bad_translation,good_num,good_diacritic,good_sentence_raw,good_sentence,good_gloss,good_translation,type,phenomenon,phenomenon-2,paradigm
80,2008,kishimoto,24b,*,拍車のそんな議論へのかけやすさ。,拍車のそんな議論へのかけやすさが指摘された。,spur-Gen that-controversy-to-Gen hang-easy-NL,,23bi,g,そんな議論への拍車のかけにくさ。,そんな議論への拍車のかけにくさが指摘された。,that-controversy-to-Gen spur-Gen hang-difﬁcult-NL,‘the difﬁculty in adding fresh fuel to that controversy’,interpretation,argument structure,,scrambling
81,2008,kishimoto,24c,*,手の原稿への入れにくさ。,手の原稿への入れにくさが指摘された。,hand-Gen draft-to-Gen put.in-difﬁcult-NL,,23ci,g,原稿への手の入れにくさ。,原稿への手の入れにくさが指摘された。,draft-to-Gen hand-Gen put.in-difﬁcult-NL,‘the difﬁculty in revising a draft’,interpretation,argument structure,,scrambling
82,2008,kishimoto,24d,*,血道の麻雀への上げやすさ。,血道の麻雀への上げやすさが指摘された。,blood-Gen mahjong-to-Gen raise-easy-NL,,23di,g,麻雀への血道の上げやすさ。,麻雀への血道の上げやすさが指摘された。,mahjong-to-Gen blood-Gen raise-easy-NL,‘the easiness to be obsessed with mahjong’,interpretation,argument structure,,scrambling
83,2008,kishimoto,26aii,*,思ったことの口への出しにくさ。,思ったことの口への出しにくさが指摘された。,thought thing-Gen mouth-to-Gen let.out-difficult-NL,‘the difﬁculty to say what’s on his mind’,26ai,g,思ったことの口に出しにくさ。,思ったことの口に出しにくさが指摘された。,thought thing-Gen mouth-Dat let.out-difficult-NL,‘the difﬁculty to say what’s on his mind’,interpretation,argument structure,,case
84,2008,kishimoto,26bii,*,自分の才能の鼻へのかけやすさ。,自分の才能の鼻へのかけやすさが指摘された。,self-Gen talent-Gen nose-to-Gen hang-easy-NL,‘the easiness to boast of his own talent’,26bi,g,自分の才能の鼻にかけやすさ。,自分の才能の鼻にかけやすさが指摘された。,self-Gen talent-Gen nose-Dat hang-easy-NL,‘the easiness to boast of his own talent’,interpretation,argument structure,,case
85,2008,kishimoto,26cii,*,車の手への入れにくさ。,車の手への入れにくさが指摘された。,car-Gen hand-to-Gen put.in-difﬁcult-NL,‘the difﬁculty to acquire a car’,26ci,g,車の手に入れにくさ。,車の手に入れにくさが指摘された。,car-Gen hand-Dat put.in-difﬁcult-NL,‘the difﬁculty to acquire a car’,interpretation,argument structure,,case
86,2008,kishimoto,26dii,*,自分の失敗の棚への上げやすさ。,自分の失敗の棚への上げやすさが指摘された。,self-Gen mistake-Gen shelf-to-Gen raise-easy-NL,‘the easiness to shut his eyes to his own mistakes’,26di,g,自分の失敗の棚に上げやすさ。,自分の失敗の棚に上げやすさが指摘された。,self-Gen mistake-Gen shelf-Dat raise-easy-NL,‘the easiness to shut his eyes to his own mistakes’,interpretation,argument structure,,case
87,2008,kishimoto,27a,*,人のことへの口を出しにくさ。,人のことへの口を出しにくさが指摘された。,person-Gen business-to-Gen mouth-Acc let.out-difﬁcult-NL,,23ai,g,人のことへの口の出しにくさ。,人のことへの口の出しにくさが指摘された。,person-Gen business-to-Gen mouth-Gen let.out-difﬁcult-NL,‘the difﬁculty in cutting in on someone else’s business’,interpretation,argument structure,,case
88,2008,kishimoto,27b,*,そんな議論への拍車をかけやすさ。,そんな議論への拍車をかけやすさが指摘された。,that-controversy-to-Gen spur-Acc hang-easy-NL,,23bi,g,そんな議論への拍車のかけにくさ。,そんな議論への拍車のかけにくさが指摘された。,that-controversy-to-Gen spur-Gen hang-difﬁcult-NL,‘the difﬁculty in adding fresh fuel to that controversy’,interpretation,argument structure,,case
89,2008,kishimoto,27c,*,原稿への手を入れにくさ。,原稿への手を入れにくさが指摘された。,draft-to-Gen hand-Acc put.in-difﬁcult-NL,,23ci,g,原稿への手の入れにくさ。,原稿への手の入れにくさが指摘された。,draft-to-Gen hand-Gen put.in-difﬁcult-NL,‘the difﬁculty in revising a draft’,interpretation,argument structure,,case
90,2008,kishimoto,27d,*,麻雀への血道を上げやすさ。,麻雀への血道を上げやすさが指摘された。,mahjong-to-Gen blood-Acc raise-easy-NL,,23di,g,麻雀への血道の上げやすさ。,麻雀への血道の上げやすさが指摘された。,mahjong-to-Gen blood-Gen raise-easy-NL,‘the easiness to be obsessed with mahjong’,interpretation,argument structure,,case
91,2008,kishimoto,29,*,太郎は蓋を臭いものにしない主義だ。,太郎は蓋を臭いものにしない主義だ。,Taro-Top lid-Acc stinky thing-Dat do-Neg-Pres principle-Cop,,28,g,太郎は臭い物に蓋をしない主義だ。,太郎は臭い物に蓋をしない主義だ。,Taro-Top stinky thing-Dat lid-Acc do-Neg-Pres principle-Cop,‘Taro has a principle of not covering up unfavorable things.’,interpretation,argument structure,,scrambling
92,2008,kishimoto,32b,*,蓋を臭い物にしにくいこと。,蓋を臭い物にしにくいこと。,lid-Acc stinky thing-Dat do-difﬁcult-Pres fact,,32a,g,臭い物に蓋をしにくいこと。,臭い物に蓋をしにくいこと。,stinky thing-Dat lid-Acc do-difﬁcult-Pres fact,the fact that it is difﬁcult to cover up unfavorable things’,interpretation,argument structure,,scrambling
93,2008,kishimoto,33ii,*,臭い物に蓋のしにくさ。,臭い物に蓋のしにくさが指摘された。,stinky thing-Dat lid-Gen do-difﬁcult-NL,‘the difﬁculty to cover up unfavorable things’,33i,g,臭い物への蓋のしにくさ。,臭い物への蓋のしにくさが指摘された。,stinky thing-to-Gen lid-Gen do-difﬁcult-NL,‘the difﬁculty to cover up unfavorable things’,interpretation,argument structure,,case
94,2008,kishimoto,34aii,??,太郎が花子へ本を与えた。,太郎が花子へ本を与えた。,Taro-Nom Hanako-to book-Acc give-Past,‘Taro gave Hanako a book.’,34ai,g,太郎が花子に本を与えた。,太郎が花子に本を与えた。,Taro-Nom Hanako-Dat book-Acc give-Past,‘Taro gave Hanako a book.’,acceptability,argument structure,,case
95,2008,kishimoto,34bii,?*,花子に本の与えにくさ。,花子に本の与えにくさが指摘された。,Hanako-Dat book-Gen give-difﬁcult-NL,‘the difﬁculty of giving a book to Hanako’,34bi,g,花子への本の与えにくさ。,花子への本の与えにくさが指摘された。,Hanako-to-Gen book-Gen give-difﬁcult-NL,‘the difﬁculty of giving a book to Hanako’,acceptability,argument structure,,case
96,2008,kishimoto,35aii,??,太郎が原稿へ手を入れた。,太郎が原稿へ手を入れた。,Taro-Nom draft-to hand-Acc put.in-Past,‘Taro revised a draft.’,35ai,g,太郎が原稿に手を入れた。,太郎が原稿に手を入れた。,Taro-Nom draft-Dat hand-Acc put.in-Past,‘Taro revised a draft.’,interpretation,argument structure,,case
97,2008,kishimoto,36ii,??,太郎はいつも臭いものへ蓋をする。,太郎はいつも臭いものへ蓋をする。,Taro-Top always stinky thing-to lid-Acc do-Pres,‘Taro always covers up unfavorable things.’,36i,g,太郎はいつも臭い物に蓋をする。,太郎はいつも臭い物に蓋をする。,Taro-Top always stinky thing-Dat lid-Acc do-Pres,‘Taro always covers up unfavorable things.’,interpretation,argument structure,,case
98,2008,kishimoto,37aii,*,原稿に手の入れ方,原稿に手の入れ方は人それぞれだ。,draft-Dat hand-Gen put.in-way,‘the way to revise a draft’,37ai,g,原稿への手の入れ方,原稿への手の入れ方は人それぞれだ。,draft-to-Gen hand-Gen put.in-way,‘the way to revise a draft’,acceptability,morphology,,nominalization
99,2008,kishimoto,37bii,*,車の手の入れ方,車の手の入れ方は人それぞれだ。,car-Gen hand-Gen put.in-way,‘the way to obtain a car’,37bi,g,車の手に入れ方,車の手に入れ方は人それぞれだ。,car-Gen hand-Dat put.in-way,‘the way to obtain a car’,acceptability,morphology,,nominalization
100,2008,kishimoto,37cii,*,臭い物に蓋の仕方,臭い物に蓋の仕方は人それぞれだ。,stinky thing-Dat lid-Gen do-way,‘the way to cover up unfavorable things’,37ci,g,臭い物への蓋の仕方,臭い物への蓋の仕方は人それぞれだ。,stinky thing-to-Gen lid-Gen do-way,‘the way to cover up unfavorable things’,acceptability,morphology,,nominalization
101,2008,kishimoto,39ii,*,先生のお話になり,先生のお話になりは素敵だった。,teacher-Gen talk-Verbl.hon,‘the teacher’s talk’,39i,g,先生のお話,先生のお話は素敵だった。,teacher-Gen Noml.hon-talk,‘the teacher’s talk’,acceptability,morphology,,part of speech
102,2008,kishimoto,40i,*,先生のお話にくさ。,先生のお話にくさが指摘された。,teacher-Gen Noml.hon-talk-difﬁcult-NL,‘the teacher’s difﬁculty to talk’,,,,先生のお話になりにくさが指摘された。,teacher-Gen talk-Verbl.hon-difﬁcult-NL Nom pointed.out,‘The teacher’s difﬁculty to talk was pointed out.’,acceptability,morphology,,part of speech
103,2008,kishimoto,41ii,*,先生のお話方,先生のお話方は独特だ。,teacher-Gen Noml.hon-talk-way,‘the teacher’s way of talking’,41i,g,先生のお話になり方,先生のお話になり方は独特だ。,teacher-Gen talk-Verbl.hon-way,‘the teacher’s way of talking’,acceptability,morphology,,part of speech
104,2008,kishimoto,46aii,?*,ベランダに洗濯物の出しにくさ。,ベランダに洗濯物の出しにくさが指摘された。,veranda-Dat laundry-Gen let.out-difﬁcult-NL,‘the difﬁculty to put laundry on the veranda’,46ai,g,ベランダへの洗濯物の出しにくさ。,ベランダへの洗濯物の出しにくさが指摘された。,veranda-to-Gen laundry-Gen let.out-difﬁcult-NL,‘the difﬁculty to put laundry on the veranda’,acceptability,argument structure,,case
105,2008,kishimoto,46bii,?*,洗濯物のベランダに出しにくさ。,洗濯物のベランダに出しにくさが指摘された。,laundry-Gen veranda-to-Gen/-Dat let.out-difﬁcult-NL,,46bi,g,洗濯物のベランダへの出しにくさ。,洗濯物のベランダへの出しにくさが指摘された。,laundry-Gen veranda-to-Gen/-Dat let.out-difﬁcult-NL,‘the difﬁculty to put laundry on the veranda’,acceptability,argument structure,,case
106,2008,kishimoto,47aii,?*,ひまわりに水の与えにくさ。,ひまわりに水の与えにくさが指摘された。,sunﬂower-Dat water-Gen give-difﬁcult-NL,‘the difﬁculty of giving water to the sunﬂowers’,47ai,g,ひまわりへの水の与えにくさ。,ひまわりへの水の与えにくさが指摘された。,sunﬂower-to-Gen water-Gen give-difﬁcult-NL,‘the difﬁculty of giving water to the sunﬂowers’,acceptability,argument structure,,case
107,2008,kishimoto,47bii,?*,水のひまわりに与えにくさ。,水のひまわりに与えにくさが指摘された。,water-Gen sunﬂower-to-Gen/-Dat give-difﬁcult-NL,,47bi,g,水のひまわりへの与えにくさ。,水のひまわりへの与えにくさが指摘された。,water-Gen sunﬂower-to-Gen/-Dat give-difﬁcult-NL,‘the difﬁculty of giving water to the sunﬂowers’,acceptability,argument structure,,case
108,2008,kishimoto,49b,*,絵本のテーブルの置き方,絵本のテーブルの置き方は人それぞれだ。,picture.book-Gen table-Gen put-way,,49a,g,テーブルの絵本の置き方,テーブルの絵本の置き方は人それぞれだ。,table-Gen picture.book-Gen put-way,‘the way of putting a picture book on the top of the table’,acceptability,argument structure,,scrambling
109,2008,kishimoto,50b,*,絵本のテーブルの置かれ方,絵本のテーブルの置かれ方は独特だ。,picture.book-Gen table-Gen put-Pass-way,,50a,g,テーブルの絵本の置かれ方,テーブルの絵本の置かれ方は独特だ。,table-Gen picture.book-Gen put-Pass-way,‘the way of the picture book’s being put on the table’,acceptability,argument structure,,scrambling
110,2008,kishimoto,52b,?*,教科書のランドセルの入れ方,教科書のランドセルの入れ方は人それぞれだ。,textbook-Gen school.bag-to-Gen put.in-way,,52a,g,ランドセルの教科書の入れ方,ランドセルの教科書の入れ方は人それぞれだ。,school.bag-Gen textbook-Gen put.in-way,‘the way of putting textbooks in the school bag’,acceptability,argument structure,,scrambling
111,2008,kishimoto,53b,?*,洗濯物のベランダの出しにくさ。,洗濯物のベランダの出しにくさが指摘された。,laundry-Gen veranda-Gen let.out-difﬁcult-NL,,53a,g,ベランダの洗濯物の出しにくさ。,ベランダの洗濯物の出しにくさが指摘された。,veranda-Gen laundry-Gen let.out-difﬁcult-NL,‘the difﬁculty to put the laundry on the veranda’,acceptability,argument structure,,scrambling
112,2008,kishimoto,54b,?*,水のひまわりの与えにくさ。,水のひまわりの与えにくさが指摘された。,water-Gen sunﬂower-Gen give-difﬁcult-NL,,54a,g,ひまわりの水の与えにくさ。,ひまわりの水の与えにくさが指摘された。,sunﬂower-Gen water-Gen give-difﬁcult-NL,‘the difﬁculty of giving water to the sunﬂowers’,acceptability,argument structure,,scrambling
113,2008,kishimoto,57b,?*,子犬のジョンの餌の与え方,子犬のジョンの餌の与え方は独特だ。,puppy-Gen John-Gen food-Gen give-way,,57a,g,ジョンの子犬の餌の与え方,ジョンの子犬の餌の与え方は独特だ。,John-Gen puppy-Gen food-Gen give-way,‘the way of John’s giving food to a puppy’,acceptability,argument structure,,scrambling
114,2008,kishimoto,60a,?*,花子への荷物の東京に送りにくさ。,花子への荷物の東京に送りにくさ。,Hanako-to-Gen package-Gen Tokyo-Dat send-difficult-Nl,,59b,%,花子への荷物の東京への送りにくさ。,花子への荷物の東京への送りにくさ。,Hanako-to-Gen package-Gen Tokyo-to-Gen send-difﬁcult-NL,‘the difﬁculty of sending Hanako a package to Tokyo’,acceptability,argument structure,,case
115,2008,kishimoto,60b,?*,花子への東京に荷物の送りにくさ。,花子への東京に荷物の送りにくさ。,Hanako-to-Gen Tokyo-Dat package-Gen send-difficult-NL,,59a,%,花子への東京への荷物の送りにくさ。,花子への東京への荷物の送りにくさ。,Hanako-to-Gen Tokyo-to-Gen package-Gen send-difﬁcult-NL,‘the difﬁculty of sending Hanako a package to Tokyo’,acceptability,argument structure,,case
116,2008,kishimoto,61,?*,花子に東京への荷物の送りにくさ。,花子に東京への荷物の送りにくさ。,Hanako-Dat Tokyo-Gen package-Gen send-difficult-NL,,z t,%,花子への東京への荷物の送りにくさ。,花子への東京への荷物の送りにくさ。,Hanako-to-Gen Tokyo-to-Gen package-Gen send-difﬁcult-NL,‘the difﬁculty of sending Hanako a package to Tokyo’,acceptability,argument structure,,case
117,2008,kishimoto,63,*,選手は監督の方針に口に不満をした。,選手は監督の方針に口に不満をした。,player-Top manager-Gen policy-Dat mouth-Dat complaint--Acc do-Past,,62,g,選手は監督の方針に不満を口にした。,選手は監督の方針に不満を口にした。,player-Top manager-Gen policy-Dat complaint-Acc mouth-Dat do-Past,‘The players directed complaints to the manager’s policy.’,interpretation,argument structure,,scrambling
118,2008,kishimoto,65a,*,その方針への不満の口へのしにくさ。,その方針への不満の口へのしにくさが指摘された。,that-policy-Dat complaint-Gen mouth-to-Gen do-difficult-NL,,64,g,その方針への不満の口にしにくさ。,その方針への不満の口にしにくさが指摘された。,that-policy-to-Gen complaint-Gen mouth-Dat do-difﬁcult-NL,‘the difﬁculty to direct complaints to the manager’s policy’,interpretation,argument structure,,case
119,2008,kishimoto,65b,*,その方針に不満の口へのしにくさ。,その方針に不満の口へのしにくさが指摘された。,that-policy-Dat complaint-Gen mouth-to-Gen do-difficult-NL,,64,g,その方針への不満の口にしにくさ。,その方針への不満の口にしにくさが指摘された。,that-policy-to-Gen complaint-Gen mouth-Dat do-difﬁcult-NL,‘the difﬁculty to direct complaints to the manager’s policy’,interpretation,argument structure,,case
120,2008,kishimoto,65c,?*,その方針に不満の口にしにくさ。,その方針に不満の口にしにくさが指摘された。,that-policy-Dat complaint-Gen mouth-Dat do-difficult-NL,,64,g,その方針への不満の口にしにくさ。,その方針への不満の口にしにくさが指摘された。,that-policy-to-Gen complaint-Gen mouth-Dat do-difﬁcult-NL,‘the difﬁculty to direct complaints to the manager’s policy’,interpretation,argument structure,,case
121,2008,"saito, lin & murasugi",9ii,*,私が昨日見たの人,私が昨日見たの人は素敵だった。,I -NOM yesterday saw no person,‘the person I saw yesterday’,53i,g,私が昨日見た人,私が昨日見た人は素敵だった。,I -NOM yesterday saw person,‘the person I saw yesterday’,acceptability,nominal structure,,modifier
122,2008,"saito, lin & murasugi",12i,*,三冊本,太郎が買ったのは三冊本だ。,three-CL book,‘three books’,41ii,g,三冊の本,太郎が買ったのは三冊の本だ。,three-CL no book,‘three books’,acceptability,nominal structure,,modifier
123,2008,"saito, lin & murasugi",22a,*,晴れの日は良いが、雨のは落ち込む。,晴れの日は良いが、雨のは落ち込む。,clear no day-TOP good though rain no day-TOP feel-depressed,"‘Clear days are OK, but I feel depressed on rainy days.’",,,,晴れの日は良いが、雨の日は落ち込む。,clear no day-TOP good though rain no day-TOP feel-depressed,"‘Clear days are OK, but I feel depressed on rainy days.’",acceptability,ellipsis,,nominal ellipsis
124,2008,"saito, lin & murasugi",22b,*,太郎は1日に三冊の本を読むが、花子は5冊のを読む。,太郎は1日に三冊の本を読むが、花子は5冊のを読む。,Taro-TOP one-day-in three-CL no book-ACC read though Hanako-TOP ﬁve-CL no book-ACC read,"‘Taroo reads three books in a day, but Hanako reads ﬁve.’",,,,太郎は1日に三冊の本を読むが、花子は5冊の本を読む。,Taro-TOP one-day-in three-CL no book-ACC read though Hanako-TOP ﬁve-CL no book-ACC read,"‘Taroo reads three books in a day, but Hanako reads ﬁve.’",acceptability,ellipsis,,nominal ellipsis
125,2008,"saito, lin & murasugi",49,*,太郎は3冊の本を買ったが、花子は5冊のを買った。,太郎は3冊の本を買ったが、花子は5冊のを買った。,Taro-TOP three-CL no book-ACC bought though Hanako-TOP five-CL no book-ACC bought,"‘Taroo bought three books, but Hanako bought ﬁve.’",,,,太郎は3冊の本を買ったが、花子は5冊の本を買った。,Taro-TOP one-day-in three-CL no book-ACC read though Hanako-TOP ﬁve-CL no book-ACC read,"‘Taroo reads three books in a day, but Hanako reads ﬁve.’",acceptability,ellipsis,,nominal ellipsis
126,2008,"saito, lin & murasugi",54,*,太郎が昨日会った人は優しいが、花子が昨日会ったは怖い。,太郎が昨日会った人は優しいが、花子が昨日会ったは怖い。,Taro-NOM yesterday saw person-TOP kind though Hanako-NOM yesterday saw person-TOP scary,"‘The person Taroo saw yesterday is kind, but the person Hanako saw yesterday is scary.’",,,,太郎が昨日会った人は優しいが、花子が昨日会った人は怖い。,Taro-NOM yesterday saw person-TOP kind though Hanako-NOM yesterday saw person-TOP scary,"‘The person Taroo saw yesterday is kind, but the person Hanako saw yesterday is scary.’",acceptability,ellipsis,,nominal ellipsis
127,2009,takita,27b,*,太郎は花子がなぜ彼の手紙を捨てたから怒っているの？,太郎は花子がなぜ彼の手紙を捨てたから怒っているの？,Taro-Top Hanako-Nom why he-Gen letter-Acc discarded because be.angry C[+Q],‘Whyi is Taro angry [because Hanako discarded his letters ti ]?’,27a,g,太郎は花子がなぜ彼の手紙を捨てたと思っているの？,太郎は花子がなぜ彼の手紙を捨てたと思っているの？,Taro-Top Hanako-Nom why he-Gen letter-Acc discarded C think C[+Q],‘Whyi does Taro think [that Hanako discarded his letters ti ]?’,acceptability,island effects,filler-gap,adjunct island
128,2009,takita,28b,*,太郎が泥棒が盗む前に学校に居たのはこの銀行からだ。,太郎が泥棒が盗む前に学校に居たのはこの銀行からだ。,Taro-Nom thief-Nom money-Acc steal before school-at be C-Top this bank-from Cop,‘It is [from this bank]i that Taro was at the school [before the thief stole the money ti ]’,28a,g,太郎が泥棒が現金を盗んだと思っているのはこの銀行からだ。,太郎が泥棒が現金を盗んだと思っているのはこの銀行からだ。,Taro-Nom thief-Nom money-Acc stole C think C-Top this bank-from Cop,‘It is [from this bank]i that Taro thinks [the thief stole the money ti ]’,acceptability,island effects,filler-gap,adjunct island
129,2009,takita,29c,*,彼の手紙を捨てさえ太郎が花子がしたので怒った。,彼の手紙を捨てさえ太郎が花子がしたので怒った。,he-Gen letter-Acc discard-even Taro-Nom Hanako-Nom did because got.angry,"‘[Even discard his letters]i , Taro got angry [because Hanako did ti ]’",29a,g,太郎が花子が彼の手紙を捨てさえしたので怒った。,太郎が花子が彼の手紙を捨てさえしたので怒った。,Taro-Nom Hanako-Nom he-Gen letter-Acc discard-even did because got.angry,‘Taro got angry [because Hanako [even discarded his letters]]’,acceptability,island effects,filler-gap,adjunct island
130,2009,takita,29c,*,彼の手紙を捨てさえ太郎が花子がしたので怒った。,彼の手紙を捨てさえ太郎が花子がしたので怒った。,,,29b,g,太郎が彼の手紙を捨てさえ花子がしたので怒った。,太郎が彼の手紙を捨てさえ花子がしたので怒った。,Taro-Nom he-Gen letter-Acc discard-even Hanako-Nom did because got.angry,"‘Taro got angry [because [even discard his letters]i , Hanako did ti ]’",acceptability,island effects,filler-gap,adjunct island
131,2009,hayashishita,74a,?*,ジョンはメアリーが賢い以上に賢くない。,ジョンはメアリーが賢い以上に賢くない。,John-TOP Mary-NOM smart more smart-NEG,‘(Lit.) John is not smarter than Mary is smart.’,72a,g,ジョンはメアリーが賢い以上に賢い。,ジョンはメアリーが賢い以上に賢い。,John-TOP Mary-NOM smart more smart,‘(Lit.) John is smarter than Mary is smart.’,acceptability,quantifiers,,negation
132,2009,hayashishita,74b,?*,ジョンはメアリーが賢いぐらい賢くない。,ジョンはメアリーが賢いぐらい賢くない。,John-TOP Mary-NOM smart as smart-NEG,‘(Lit.) John is not as smart as Mary is smart.’,72b,g,ジョンはメアリーが賢いぐらい賢い。,ジョンはメアリーが賢いぐらい賢い。,John-TOP Mary-NOM smart as smart,‘(Lit.) John is as smart as Mary is smart.’,acceptability,quantifiers,,negation
133,2009,miyamoto,18b,*,2切れのハムは夕食になるが、1切れのはならない。,2切れのハムは夕食になるが、1切れのはならない。,two-Cl -Gen ham -Top supper -to make-up though one-Cl -Gen -Top not-make-up,"‘Two slices of ham make up a supper, but one slice of ham does not.’",,,,2切れのハムは夕食になるが、1切れのハムはならない。,two-Cl -Gen ham -Top supper -to make-up though one-Cl -Gen ham-Top not-make-up,"‘Two slices of ham make up a supper, but one slice of ham does not.’",acceptability,ellipsis,,nominal ellipsis
134,2009,miyamoto,18c,?*,東京での食事は良かったが、京都でのは悲惨だった。,東京での食事は良かったが、京都でのは悲惨だった。,Tokyo -in -Gen supper -Top was-good though Kyoto -in -Gen -Top horrible was,"‘The supper in Tokyo was good, but Kyoto’s was horrible.’",,,,東京での食事は良かったが、京都での食事は悲惨だった。,Tokyo -in -Gen supper -Top was-good though Kyoto -in -Gen supper-Top horrible was,"‘The supper in Tokyo was good, but Kyoto’s was horrible.’",acceptability,ellipsis,,nominal ellipsis
135,2009,miyamoto,36b,*,3本ずつのその鉛筆,太郎は3本ずつのその鉛筆を買った。,three-Cl-Dist -Gen that pencil.,,36a,g,その3本ずつの鉛筆,太郎はその3本ずつの鉛筆を買った。,that three-Cl-Dist -Gen pencil,‘those pencils that are in threes’,acceptability,quantifiers,,classifier
136,2009,tomioka,2a,?*,誰も何を読まなかったの？,誰も何を読まなかったの？,anyone what-acc read-neg-past-Q,‘What did no one read?’,3a,g,何を誰も読まなかったの？,何を誰も読まなかったの？,what-acc anyone read-neg-past-Q,‘What did no one read?’,acceptability,filler-gap,,intervention effects
137,2009,tomioka,2b,?*,健しか何を読まなかったの？,健しか何を読まなかったの？,Ken-except what-acc read-neg-past-Q,‘What did no one but Ken read?’,3b,g,何を健しか読まなかったの？,何を健しか読まなかったの？,what-acc Ken-except read-neg-past-Q,‘What did no one but Ken read?’,acceptability,filler-gap,,intervention effects
138,2009,tomioka,2c,??,誰もが何を読んだの？,誰もが何を読んだの？,everyone-nom what-acc read-past-Q,‘What did everyone read?’,3c,g,何を誰もが読んだの？,何を誰もが読んだの？,what-acc everyone-nom read-past-Q,‘What did everyone read?’,acceptability,filler-gap,,intervention effects
139,2009,tomioka,2d,??,誰かが何を読んだの？,誰かが何を読んだの？,someone-nom what-acc read-past-Q,‘What did someone read?’,3d,g,何を誰かが読んだの？,何を誰かが読んだの？,what-acc someone-nom read-past-Q,‘What did someone read?’,acceptability,filler-gap,,intervention effects
140,2009,tomioka,2e,???,ジョンかビルが何を読んだの？,ジョンかビルが何を読んだの？,John-or Bill-nom what-acc read-past-Q?,‘What did John or Bill read?’,3e,g,何をジョンかビルが読んだの？,何をジョンかビルが読んだの？,what-acc John-or Bill-nom read-past-Q?,‘What did John or Bill read?’,acceptability,filler-gap,,intervention effects
141,2009,tomioka,2f,???,健だけが何を読んだの？,健だけが何を読んだの？,Ken-only-nom what-acc read-past-Q?,‘What did only Ken read?’,3f,g,何を健だけが読んだの？,何を健だけが読んだの？,what-acc Ken-only-nom read-past-Q?,‘What did only Ken read?’,acceptability,filler-gap,,intervention effects
142,2009,tomioka,26,?*,絵里香は誰もなぜ来なかったと思っているの？,絵里香は誰もなぜ来なかったと思っているの？,Erika-top anyone why come-neg-past-C think-prog-Q,‘Why does Erika think that no one came?’,27i,g,絵里香は誰もなぜ来なかったか知っている。,絵里香は誰もなぜ来なかったか知っているの？,Erika-top anyone why come-neg-past-Q know-prog,‘Erika knows why no one came.’,interpretation,filler-gap,,intervention effects
143,2010,asano & ura,1a'ii,*,先生が生徒の泣かせた場所,先生が生徒の泣かせた場所はここだ。,teacher-Nom student-Gen cry-cause-Pst place,‘the place where the teacher made the student cry’,1a'i,g,先生が生徒を泣かせた場所,先生が生徒を泣かせた場所はここだ。,teacher-Nom student-Acc cry-cause-Pst place,‘the place where the teacher made the student cry’,acceptability,argument structure,,case
144,2010,asano & ura,1b'ii,*,生徒の泣かせた先生,生徒の泣かせた先生はあの人だ。,student-Gen cry-cause-Pst teacher,‘the teacher who made a student cry’,1b'i,g,生徒を泣かせた先生,生徒を泣かせた先生はあの人だ。,student-Acc cry-cause-Pst teacher,‘the teacher who made a student cry’,acceptability,argument structure,,case
145,2010,asano & ura,3aii,*,太郎のゴミを捨て方,太郎のゴミを捨て方は雑だ。,(Taro-Gen) garbage-Acc dump-way,‘The way (for Taro) to throw out garbage’,3ai,g,太郎のゴミの捨て方,太郎のゴミの捨て方は雑だ。,(Taro-Gen) garbage-Gen dump-way,‘The way (for Taro) to throw out garbage’,acceptability,argument structure,,case
146,2010,asano & ura,3bii,*,悪事からの足を洗い方,悪事からの足を洗い方は知っている。,(villainies-from-Gen) foot-Acc wash-way,‘The way to get out (of villainies)’,3bi,g,悪事からの足の洗い方,悪事からの足の洗い方は知っている。,(villainies-from-Gen) foot-Gen wash-way,‘The way to get out (of villainies)’,acceptability,argument structure,,case
147,2010,asano & ura,6aii,*,太郎が燃えるゴミの捨てる場所,太郎が燃えるゴミの捨てる場所はここだ。,Taro-Nom burn-Pres garbage-Gen dump-Pres place,‘the place where Taro throws out flammable garbage’,6ai,g,太郎が燃えるゴミを捨てる場所,太郎が燃えるゴミを捨てる場所はここだ。,Taro-Nom burn-Pres garbage-Acc dump-Pres place,‘the place where Taro throws out flammable garbage’,acceptability,argument structure,,case
148,2010,asano & ura,6bii,*,彼が悪事から足の洗う日,彼が悪事から足の洗う日はいつになるのだろう？,he-Nom villainies-from foot-Acc/-Gen wash-Pres day,‘the day when he gets out of villainies’,6bi,g,彼が悪事から足を洗う日,彼が悪事から足を洗う日はいつになるのだろう？,he-Nom villainies-from foot-Acc/-Gen wash-Pres day,‘the day when he gets out of villainies’,acceptability,argument structure,,case
149,2010,asano & ura,6cii,*,彼の手下が大統領の暗殺する計画,彼の手下が大統領の暗殺する計画は入念だ。,he-Gen follower-Nom president -Gen murder-Pres plan,‘the plan for his followers to murder the president’,6ci,g,彼の手下が大統領を暗殺する計画,彼の手下が大統領を暗殺する計画は入念だ。,he-Gen follower-Nom president -Acc murder-Pres plan,‘the plan for his followers to murder the president’,acceptability,argument structure,,case
150,2010,asano & ura,6dii,*,生徒たちが力の入れる科目,生徒たちが力の入れる科目は数学だ。,students-Nom force -Gen put-Pres subject,‘the subjects that students will (should) study hard’,6di,g,生徒たちが力の入れる科目,生徒たちが力を入れる科目は数学だ。,students-Nom force -Acc put-Pres subject,‘the subjects that students will (should) study hard’,acceptability,argument structure,,case
